FACULTAD DE TELEMÁTICA,,,,,,,,,,,
HORARIOS SEMESTRE ENERO 2014 - JULIO 2014,,,,,,,,,,,
GPO,UNIDAD DE APRENDIZAJE,HCA,PROFESOR/A,L,M,Mi,J,V,LUGAR,,
2A,CÁLCULO DIFERENCIAL E INTEGRAL,3,ANDRADE ARECHIGA MARIA,11/12,11,,,,Auditorio 1,,
2A,INGLÉS,3,EDWARDS BLOCK ARTHUR,,,10/11,,8,Auditorio 1,,
2A,DERECHO INFORMÁTICO,2,GÓMEZ SANTOS JULIO CESAR,,,,,10/11,Auditorio 1,,
2A,ELECTRÓNICA DIGITAL,3,ESTRADA GONZALEZ FERMÍN,,12/13/14,,,,L Arquitectura,,
2A,ENRUTAMIENTO BASICO,3,MAYORAL BALDIVIA MARGARITA,8/9,,,,9,L CISCO,,
2A,ESTRUCTURAS Y BASES DE DATOS,3,GALLARDO ARMANDO ROMÁN,,,12/13,,,L Cómp Móv,,
2A,ESTRUCTURAS Y BASES DE DATOS,3,GALLARDO ARMANDO ROMÁN,13,,,,,L Cómp Móv,,
2B,CÁLCULO DIFERENCIAL E INTEGRAL,3,ANDRADE ARECHIGA MARIA,,12,,12/13,,Auditorio 1,,
2B,INGLÉS,3,EDWARDS BLOCK ARTHUR,,,,10/11,9,Auditorio 1,,
2B,ELECTRÓNICA DIGITAL,3,ESTRADA GONZALEZ FERMÍN,,,12/13/14,,,L Arquitectura,,
2B,ENRUTAMIENTO BASICO,3,MAYORAL BALDIVIA MARGARITA,,,,8/9,8,L CISCO,,
2B,ESTRUCTURAS Y BASES DE DATOS,3,GALLARDO ARMANDO ROMÁN,,13,,,10/11,L D Software,,
2B,DERECHO INFORMÁTICO,2,GÓMEZ SANTOS JULIO CESAR,,10,10,,,L Cómp Móv,,
2D,INGLÉS,3,EDWARDS BLOCK ARTHUR,8/9,8,,,,Auditorio 1,,
2D,CALCULO ,3,CABELLO ESPINOZA MARÍA EUGENIA,,9/10,,9,,Auditorio 2,,
2D,SISTEMAS DE INFORMACIÓN,3,ALCARAZ AMADOR MARTHA CRISTINA,,12,,,,Auditorio 4,,
2D,PROGRAMACIÓN ORIENTADA A OBJETOS,3,GUTIÉRREZ PULIDO JORGE RAFAEL,12/13,13,,,,D Comp Lab,,
2D,ARQUITECTURA DE COMPUTADORAS,3,TORRES LÓPEZ HECTOR,10/11,11,,,,L Arquitectura,,
2D,DISEÑO DE SOFTWARE,3,AMEZCUA VALDOVINOS ISMAEL,,,10/11,14,,L D Software,,
2D,SISTEMAS DE INFORMACIÓN,3,ALCARAZ AMADOR MARTHA CRISTINA,,,,11/12,,L Cómp Móv,,
2D,REDES DE COMPUTADORAS,3,GASPAR CRUZ CARLOS FIDEL,,,8/9,13,,L Redes,,
2E,CALCULO ,3,CABELLO ESPINOZA MARÍA EUGENIA,8/9,,,8,,Auditorio 2,,
2E,INGLÉS,3,ARAIZA CAÑEDO MARIBEL,10,11/12,,,,Auditorio 3,,
2E,SISTEMAS DE INFORMACIÓN,3,MACÍAS ELIZARRARAS SALVADOR,,,11,,,Auditorio 3,,
2E,SISTEMAS DE INFORMACIÓN,3,MACÍAS ELIZARRARAS SALVADOR,11/12,,,,,Auditorio 4,,
2E,PROGRAMACIÓN ORIENTADA A OBJETOS,3,GUTIÉRREZ PULIDO JORGE RAFAEL,,,14/15,12,,D Comp Lab,,
2E,ARQUITECTURA DE COMPUTADORAS,3,TORRES LÓPEZ HECTOR,,10,,9/10,,L Arquitectura,,
2E,REDES DE COMPUTADORAS,3,GASPAR CRUZ CARLOS FIDEL,,8/9,,7,,L CISCO,,
2E,DISEÑO DE SOFTWARE,3,AMEZCUA VALDOVINOS ISMAEL,13,,12/13,,,L D Software,,
2G,CÁLCULO DIFERENCIAL E INTEGRAL,3,CÁRDENAS VILLA GERARDO EMMANUEL,,13,,10/11,,Auditorio 3,,*
2G,DERECHO INFORMÁTICO,2,GÓMEZ SANTOS JULIO CESAR,,8/9,,,,Auditorio 3,,
2G,INGLÉS,3,RADILLO CRUZ AARÓN,,10,13/14,,,Auditorio 3,,
2G,ELECTRÓNICA DIGITAL,3,BRICIO CHAPULA CARLOS ADRIAN,8/9,,,13,,L Arquitectura,,
2G,ENRUTAMIENTO BASICO,3,GUZMÁN BENAVIDEZ KRISHNA NEITH,10/11,,,12,,L CISCO,,
2G,ESTRUCTURAS Y BASES DE DATOS,3,GÓMEZ GALVÁN MAYELA HAIDEÉ,,11,11/12,,,L IH-C,,*
2J,CALCULO ,3,CORTÉS LUGO HUGO,,,12/13,,11,Auditorio 2,,
2J,INGLÉS,3,ARAIZA CAÑEDO MARIBEL,,9,8/9,,,Auditorio 4,,
2J,SISTEMAS DE INFORMACIÓN,3,MACÍAS ELIZARRARAS SALVADOR,,8,,8/9,,Auditorio 4,,
2J,ARQUITECTURA DE COMPUTADORAS,3,BRICIO CHAPULA CARLOS ADRIAN,,,10/11,,12,L Arquitectura,,
2J,PROGRAMACIÓN ORIENTADA A OBJETOS,3,RAMÍREZ MORFÍN JOSÉ NABOR,,12/13,,12,,L C Básicas,,
2J,REDES DE COMPUTADORAS,3,AMEZCUA VALDOVINOS ISMAEL,,,,10/11,13,L CISCO,,
2J,DISEÑO DE SOFTWARE,3,AMEZCUA VALDOVINOS ISMAEL,,10/11,,,,L D Software,,
2J,DISEÑO DE SOFTWARE,3,AMEZCUA VALDOVINOS ISMAEL,,,,,10,L Cómp Móv,,
2K,CALCULO ,3,CORTÉS LUGO HUGO,,,,13/14,,Auditorio 2,,
2K,SISTEMAS DE INFORMACIÓN,3,ALCARAZ AMADOR MARTHA CRISTINA,,,12,,,Auditorio 4,,
2K,INGLÉS,3,RADILLO CRUZ AARÓN,,11,,,12/13,Auditorio 4,,
2K,ARQUITECTURA DE COMPUTADORAS,3,BRICIO CHAPULA CARLOS ADRIAN,,,,12,10/11,L Arquitectura,,
2K,SISTEMAS DE INFORMACIÓN,3,ALCARAZ AMADOR MARTHA CRISTINA,12/13,,,,,L C Básicas,,
2K,PROGRAMACIÓN ORIENTADA A OBJETOS,3,FLORES CORTÉS CARLOS ALBERTO,14,,13/14,,,L C Básicas,,
